n_arms,fmm_order,qbx_order,err_l2,err_linf
5,15,3,2.98227826676339602e-06,2.28200654499422375e-05
5,30,7,7.15408448482713558e-09,2.62380535902160849e-07
15,15,3,2.77834530638310915e-06,7.37869234904153115e-05
15,30,7,3.72647000129973435e-08,8.88359986500429021e-07
25,15,3,2.76734793587066992e-06,1.11062110999937650e-04
25,30,7,1.27635037489975439e-07,5.17601255028869432e-06
35,15,3,1.30240772247574481e-06,8.20826758875614046e-05
35,30,7,3.96891963535243907e-07,1.08401465973001251e-05
45,15,3,5.07890669797056066e-07,2.48335606879147413e-05
45,30,7,1.29507881263531255e-08,1.28631485267766972e-06
55,15,3,6.50683503733869083e-07,4.58233833368164572e-05
55,30,7,3.45675594407812457e-08,2.50923243806525730e-06
65,15,3,5.32524902438413031e-07,1.58235813023070144e-05
65,30,7,5.65616351944785943e-09,5.94240766972102476e-07
